FECHA HECHO,CANTIDAD,GENERO,Weapon Used,Total domestic violence
2018-03-31,1,M,No Weapon or Substance Used,4.0
2018-04-27,2,M,Unknown,3.0
2018-05-21,1,F,Unknown,17.0
2018-05-22,8,F,Using weapons and substances with a certain degree of harm,1.0
2018-05-27,1,F,No Weapon or Substance Used,11.0
2018-07-01,8,M,Unknown,1.0
2018-07-02,1,F,Using weapons and substances with a certain degree of harm,48.0
2018-07-05,1,F,Unknown,14.0
2018-07-06,2,M,Using weapons and substances with a certain degree of harm,1.0
2018-07-30,3,F,Using weapons and substances with a certain degree of harm,2.0
2018-08-01,1,M,Unknown,6.0
2018-08-02,2,M,Using weapons and substances with a certain degree of harm,3.0
2018-08-06,2,F,No Weapon or Substance Used,1.0
2018-08-20,7,F,Unknown,1.0
2018-08-26,5,F,No Weapon or Substance Used,1.0
2018-09-19,3,F,Using weapons and substances with a certain degree of harm,1.0
2018-09-28,1,M,Unknown,10.0
2018-10-08,1,F,Unknown,18.0
2018-10-18,1,M,Unknown,9.0
2018-11-19,13,M,Unknown,1.0
2018-11-26,5,F,Unknown,1.0
2019-01-02,4,F,Using weapons and substances with a certain degree of harm,1.0
2019-01-08,1,M,Unknown,3.0
2019-02-07,1,F,Unknown,15.0
2019-02-18,7,F,Unknown,1.0
2019-03-05,3,F,Unknown,2.0
2019-03-27,5,F,Using weapons and substances with a certain degree of harm,1.0
2019-04-01,1,F,Using weapons and substances with a certain degree of harm,49.0
2019-04-14,8,F,No Weapon or Substance Used,1.0
2019-04-19,2,F,Using weapons and substances with a certain degree of harm,6.0
2019-04-22,2,F,No Weapon or Substance Used,2.0
2019-05-03,2,F,Unknown,1.0
2019-05-04,4,F,Using weapons and substances with a certain degree of harm,1.0
2019-05-23,3,F,Using weapons and substances with a certain degree of harm,4.0
2019-05-24,2,F,Using weapons and substances with a certain degree of harm,4.0
2019-05-31,2,M,No Weapon or Substance Used,2.0
2019-06-15,2,F,No Weapon or Substance Used,4.0
2019-06-26,4,F,Unknown,1.0
2019-07-02,3,F,Unknown,2.0
2019-08-16,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-08-24,3,F,Unknown,1.0
2019-08-27,6,F,Unknown,1.0
2019-09-13,1,M,Unknown,16.0
2019-09-19,8,F,Using weapons and substances with a certain degree of harm,1.0
2019-10-07,1,M,Using weapons and substances with a certain degree of harm,16.0
2019-10-09,3,M,Unknown,1.0
2019-10-16,7,F,Unknown,1.0
2019-10-17,7,F,Unknown,1.0
2019-10-17,12,F,Unknown,1.0
2019-10-18,1,M,No Weapon or Substance Used,4.0
2019-10-22,2,F,Unknown,5.0
2019-10-27,2,F,No Weapon or Substance Used,3.0
2019-10-31,1,F,Using weapons and substances with a certain degree of harm,26.0
2019-11-12,1,M,Using weapons and substances with a certain degree of harm,9.0
2020-01-06,1,M,No Weapon or Substance Used,11.0
2020-01-16,1,M,No Weapon or Substance Used,9.0
2020-01-17,4,F,Unknown,1.0
2020-02-08,1,M,Using weapons and substances with a certain degree of harm,33.0
2020-02-08,1,M,Unknown,26.0
2020-02-27,1,M,Using weapons and substances with a certain degree of harm,36.0
2020-04-06,1,M,Unknown,16.0
2020-05-10,1,M,Using weapons and substances with a certain degree of harm,54.0
2020-05-27,1,F,Unknown,81.0
2020-06-01,2,M,Using weapons and substances with a certain degree of harm,1.0
2020-07-06,1,F,Unknown,58.0
2020-07-26,1,M,Unknown,20.0
2020-07-31,4,M,Unknown,1.0
2020-08-01,2,F,Unknown,3.0
2020-09-25,4,M,Unknown,1.0
2020-10-15,2,F,Unknown,2.0
2020-11-06,1,F,Using weapons and substances with a certain degree of harm,76.0
2020-12-23,1,M,No Weapon or Substance Used,20.0
2020-12-23,8,F,No Weapon or Substance Used,1.0
2020-12-24,3,F,No Weapon or Substance Used,1.0
2021-01-08,4,F,Using weapons and substances with a certain degree of harm,1.0
2021-01-10,1,M,Using weapons and substances with a certain degree of harm,21.0
2021-01-31,5,M,No Weapon or Substance Used,1.0
2021-02-11,3,M,No Weapon or Substance Used,3.0
2021-02-23,10,F,No Weapon or Substance Used,1.0
2021-03-17,6,F,No Weapon or Substance Used,1.0
2021-03-24,1,F,Using weapons and substances with a certain degree of harm,52.0
2021-03-28,4,F,Using weapons and substances with a certain degree of harm,1.0
2021-03-29,1,F,No Weapon or Substance Used,29.0
2021-04-02,5,F,No Weapon or Substance Used,1.0
2021-04-05,1,F,No Weapon or Substance Used,52.0
2021-04-20,4,F,Using weapons and substances with a certain degree of harm,1.0
2021-04-29,6,F,Using weapons and substances with a certain degree of harm,1.0
2021-06-16,8,F,No Weapon or Substance Used,1.0
2021-06-27,6,F,No Weapon or Substance Used,1.0
2021-07-29,3,F,Using weapons and substances with a certain degree of harm,2.0
2021-08-05,1,F,Using weapons and substances with a certain degree of harm,29.0
2021-08-22,2,M,Using weapons and substances with a certain degree of harm,2.0
2021-09-13,11,F,Using weapons and substances with a certain degree of harm,2.0
2021-09-18,5,F,Using weapons and substances with a certain degree of harm,1.0
2021-09-28,3,M,No Weapon or Substance Used,1.0
2021-09-29,1,F,No Weapon or Substance Used,56.0
2021-10-04,1,M,Using weapons and substances with a certain degree of harm,20.0
2021-11-13,3,F,Using weapons and substances with a certain degree of harm,5.0
2021-12-21,2,M,Using weapons and substances with a certain degree of harm,2.0
2022-01-01,1,F,No Weapon or Substance Used,80.0
2022-01-09,3,F,Using weapons and substances with a certain degree of harm,5.0
2022-01-25,3,M,No Weapon or Substance Used,1.0
2022-01-29,17,M,Using weapons and substances with a certain degree of harm,1.0
2022-02-02,19,M,Using weapons and substances with a certain degree of harm,1.0
2022-02-03,2,F,Using weapons and substances with a certain degree of harm,6.0
2022-02-05,1,M,No Weapon or Substance Used,20.0
2022-02-06,1,M,No Weapon or Substance Used,16.0
2022-03-10,2,M,No Weapon or Substance Used,5.0
2022-03-16,2,F,No Weapon or Substance Used,5.0
2022-03-19,2,M,Using weapons and substances with a certain degree of harm,5.0
2022-03-24,8,M,Using weapons and substances with a certain degree of harm,1.0
2022-03-29,4,F,Using weapons and substances with a certain degree of harm,1.0
2022-03-30,3,M,Using weapons and substances with a certain degree of harm,1.0
2022-04-01,2,F,Using weapons and substances with a certain degree of harm,6.0
2022-04-18,6,F,Using weapons and substances with a certain degree of harm,1.0
2022-05-01,1,F,Using weapons and substances with a certain degree of harm,46.0
2022-05-08,1,F,Using weapons and substances with a certain degree of harm,63.0
2022-05-21,1,F,No Weapon or Substance Used,51.0
2022-06-18,2,M,Using weapons and substances with a certain degree of harm,3.0
2022-06-22,6,F,No Weapon or Substance Used,1.0
2022-07-17,8,F,No Weapon or Substance Used,3.0
2022-07-18,6,F,Using weapons and substances with a certain degree of harm,3.0
2022-08-03,4,M,No Weapon or Substance Used,2.0
2022-08-06,5,M,Using weapons and substances with a certain degree of harm,1.0
2022-08-09,5,F,Using weapons and substances with a certain degree of harm,2.0
2022-08-14,5,F,No Weapon or Substance Used,3.0
2022-09-06,2,M,Using weapons and substances with a certain degree of harm,2.0
2022-09-19,8,M,No Weapon or Substance Used,1.0
2022-09-25,10,F,Using weapons and substances with a certain degree of harm,1.0
2022-09-26,1,F,Using weapons and substances with a certain degree of harm,28.0
2022-10-15,1,F,No Weapon or Substance Used,52.0
2022-10-19,5,F,No Weapon or Substance Used,1.0
2022-10-30,11,F,No Weapon or Substance Used,1.0
2022-11-07,1,F,No Weapon or Substance Used,57.0
2022-11-07,4,M,No Weapon or Substance Used,1.0
2022-11-11,3,F,No Weapon or Substance Used,2.0
2022-11-15,16,F,No Weapon or Substance Used,2.0
2022-11-18,2,F,No Weapon or Substance Used,6.0
2022-11-21,1,M,Using weapons and substances with a certain degree of harm,4.0
2022-12-08,11,M,No Weapon or Substance Used,1.0
2022-12-18,6,F,No Weapon or Substance Used,1.0
2023-01-22,5,M,No Weapon or Substance Used,1.0
2023-01-22,8,M,No Weapon or Substance Used,1.0
2023-02-20,2,F,Using weapons and substances with a certain degree of harm,2.0
2018-11-26,7,F,Using weapons and substances with a certain degree of harm,1.0
2018-12-11,12,M,Unknown,1.0
2019-01-30,2,F,Using weapons and substances with a certain degree of harm,2.0
2019-08-11,5,M,Using weapons and substances with a certain degree of harm,1.0
2019-10-05,3,F,Unknown,2.0
2019-11-03,5,F,No Weapon or Substance Used,1.0
2019-11-17,2,M,Using weapons and substances with a certain degree of harm,2.0
2019-12-18,2,F,Using weapons and substances with a certain degree of harm,2.0
2021-04-03,2,F,No Weapon or Substance Used,9.0
2021-05-13,1,M,No Weapon or Substance Used,19.0
2021-10-04,11,M,Using weapons and substances with a certain degree of harm,1.0
2022-02-27,1,M,Using weapons and substances with a certain degree of harm,18.0
2022-05-14,3,F,No Weapon or Substance Used,4.0
2022-05-30,5,F,No Weapon or Substance Used,1.0
2022-06-22,4,F,No Weapon or Substance Used,2.0
2022-07-02,1,M,Using weapons and substances with a certain degree of harm,8.0
2022-10-05,1,M,Using weapons and substances with a certain degree of harm,14.0
2022-10-24,3,M,No Weapon or Substance Used,4.0
2015-01-20,1,F,No Weapon or Substance Used,22.0
2015-01-29,1,M,Using weapons and substances with a certain degree of harm,16.0
2015-02-24,1,M,No Weapon or Substance Used,5.0
2015-02-25,3,F,Using weapons and substances with a certain degree of harm,1.0
2015-03-14,2,F,No Weapon or Substance Used,5.0
2015-04-17,1,M,No Weapon or Substance Used,7.0
2015-06-14,3,F,No Weapon or Substance Used,3.0
2015-06-20,5,F,No Weapon or Substance Used,2.0
2015-06-24,1,M,No Weapon or Substance Used,5.0
2015-06-27,9,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-28,2,F,Using weapons and substances with a certain degree of harm,8.0
2015-07-05,5,F,Using weapons and substances with a certain degree of harm,1.0
2015-07-21,3,F,No Weapon or Substance Used,3.0
2015-07-25,2,M,Using weapons and substances with a certain degree of harm,3.0
2015-08-02,2,F,Using weapons and substances with a certain degree of harm,9.0
2015-08-06,6,F,No Weapon or Substance Used,1.0
2015-08-10,3,M,No Weapon or Substance Used,2.0
2015-08-12,4,F,No Weapon or Substance Used,1.0
2015-08-15,1,M,No Weapon or Substance Used,10.0
2015-08-20,1,F,Unknown,1.0
2015-08-30,6,M,No Weapon or Substance Used,2.0
2015-09-07,2,F,Unknown,1.0
2015-09-23,2,F,No Weapon or Substance Used,4.0
2015-11-21,3,F,No Weapon or Substance Used,2.0
2015-12-01,3,F,Using weapons and substances with a certain degree of harm,1.0
2015-12-11,2,M,No Weapon or Substance Used,1.0
2015-12-13,1,F,Unknown,1.0
2015-12-19,10,F,Using weapons and substances with a certain degree of harm,1.0
2015-12-26,1,F,No Weapon or Substance Used,15.0
2016-01-02,1,M,No Weapon or Substance Used,4.0
2016-01-04,4,F,Using weapons and substances with a certain degree of harm,1.0
2016-01-12,1,F,Unknown,1.0
2016-01-14,2,M,No Weapon or Substance Used,4.0
2016-01-30,2,F,Using weapons and substances with a certain degree of harm,4.0
2016-01-31,2,F,Using weapons and substances with a certain degree of harm,13.0
2016-02-14,7,F,Using weapons and substances with a certain degree of harm,1.0
2016-02-17,2,F,No Weapon or Substance Used,6.0
2016-03-17,3,F,No Weapon or Substance Used,1.0
2016-03-19,9,F,Using weapons and substances with a certain degree of harm,1.0
2016-04-04,14,M,No Weapon or Substance Used,1.0
2016-05-15,4,F,Using weapons and substances with a certain degree of harm,5.0
2016-05-20,4,F,No Weapon or Substance Used,1.0
2016-05-30,7,F,Using weapons and substances with a certain degree of harm,1.0
2016-06-06,3,F,Using weapons and substances with a certain degree of harm,3.0
2016-06-18,1,F,No Weapon or Substance Used,23.0
2016-06-21,6,F,Using weapons and substances with a certain degree of harm,1.0
2016-06-23,6,F,Using weapons and substances with a certain degree of harm,1.0
2016-06-27,2,F,Using weapons and substances with a certain degree of harm,13.0
2016-06-30,4,F,No Weapon or Substance Used,1.0
2016-07-10,2,F,No Weapon or Substance Used,4.0
2016-07-20,7,F,No Weapon or Substance Used,1.0
2016-08-11,5,F,Using weapons and substances with a certain degree of harm,1.0
2016-08-13,2,M,Using weapons and substances with a certain degree of harm,4.0
2016-08-15,3,M,No Weapon or Substance Used,1.0
2016-10-16,1,F,Using weapons and substances with a certain degree of harm,63.0
2016-11-03,4,F,Using weapons and substances with a certain degree of harm,3.0
2016-11-07,9,F,Using weapons and substances with a certain degree of harm,1.0
2016-11-27,1,F,Using weapons and substances with a certain degree of harm,67.0
2016-12-20,2,F,No Weapon or Substance Used,6.0
2016-12-20,1,F,No Weapon or Substance Used,26.0
2017-01-14,8,F,No Weapon or Substance Used,1.0
2017-02-02,7,F,No Weapon or Substance Used,1.0
2017-02-04,8,F,Using weapons and substances with a certain degree of harm,1.0
2017-02-11,2,F,Using weapons and substances with a certain degree of harm,7.0
2017-03-07,2,F,Using weapons and substances with a certain degree of harm,6.0
2017-03-19,1,M,Using weapons and substances with a certain degree of harm,17.0
2017-03-29,7,M,No Weapon or Substance Used,1.0
2017-04-02,5,F,Using weapons and substances with a certain degree of harm,2.0
2017-04-06,2,F,Using weapons and substances with a certain degree of harm,13.0
2017-04-29,10,F,Using weapons and substances with a certain degree of harm,1.0
2017-04-30,7,M,No Weapon or Substance Used,1.0
2017-05-09,4,F,No Weapon or Substance Used,1.0
2017-05-27,11,F,Using weapons and substances with a certain degree of harm,1.0
2017-06-21,2,M,No Weapon or Substance Used,3.0
2017-06-24,5,F,Using weapons and substances with a certain degree of harm,1.0
2017-07-05,5,F,No Weapon or Substance Used,2.0
2017-07-09,1,M,Using weapons and substances with a certain degree of harm,16.0
2017-07-15,8,F,Using weapons and substances with a certain degree of harm,1.0
2017-07-26,4,M,No Weapon or Substance Used,1.0
2017-07-27,1,F,No Weapon or Substance Used,30.0
2017-07-31,1,F,Unknown,2.0
2017-08-17,3,F,No Weapon or Substance Used,1.0
2017-08-24,4,F,Using weapons and substances with a certain degree of harm,2.0
2017-08-25,5,F,Using weapons and substances with a certain degree of harm,1.0
2017-08-30,1,M,Unknown,2.0
2017-09-03,15,F,Using weapons and substances with a certain degree of harm,1.0
2017-09-06,3,F,No Weapon or Substance Used,3.0
2017-10-06,1,F,No Weapon or Substance Used,27.0
2017-10-14,7,F,No Weapon or Substance Used,1.0
2017-10-31,2,M,Using weapons and substances with a certain degree of harm,3.0
2017-11-02,5,F,No Weapon or Substance Used,1.0
2017-11-20,2,M,No Weapon or Substance Used,3.0
2017-11-29,7,F,No Weapon or Substance Used,1.0
2017-12-03,1,M,Unknown,3.0
2017-12-11,1,F,Unknown,13.0
2018-01-01,2,M,No Weapon or Substance Used,4.0
2018-01-04,2,F,No Weapon or Substance Used,5.0
2018-01-07,14,F,Using weapons and substances with a certain degree of harm,1.0
2018-01-31,2,F,Using weapons and substances with a certain degree of harm,4.0
2018-02-04,5,F,Using weapons and substances with a certain degree of harm,2.0
2018-02-11,9,F,No Weapon or Substance Used,1.0
2018-02-15,4,F,Unknown,3.0
2018-03-23,5,F,Unknown,1.0
2018-03-27,2,M,No Weapon or Substance Used,1.0
2018-04-10,7,F,Using weapons and substances with a certain degree of harm,2.0
2018-04-29,2,F,Unknown,2.0
2018-05-04,10,M,Unknown,1.0
2018-05-09,2,M,Using weapons and substances with a certain degree of harm,1.0
2018-05-16,2,F,Unknown,6.0
2018-06-07,1,M,Using weapons and substances with a certain degree of harm,24.0
2018-06-16,15,M,Unknown,1.0
2018-07-08,1,M,Using weapons and substances with a certain degree of harm,20.0
2018-07-09,1,F,Unknown,28.0
2018-07-18,7,M,Unknown,1.0
2018-08-28,3,M,Using weapons and substances with a certain degree of harm,1.0
2018-09-10,1,F,No Weapon or Substance Used,11.0
2018-09-29,12,F,Using weapons and substances with a certain degree of harm,1.0
2018-10-01,3,F,Using weapons and substances with a certain degree of harm,1.0
2018-10-22,1,F,Unknown,11.0
2018-11-04,1,F,No Weapon or Substance Used,13.0
2018-11-30,1,M,Unknown,8.0
2018-12-01,18,F,Using weapons and substances with a certain degree of harm,1.0
2018-12-14,1,F,No Weapon or Substance Used,11.0
2018-12-23,1,F,No Weapon or Substance Used,12.0
2018-12-30,1,M,Using weapons and substances with a certain degree of harm,4.0
2019-01-06,2,F,No Weapon or Substance Used,2.0
2019-01-30,2,F,No Weapon or Substance Used,1.0
2019-02-01,3,F,Unknown,1.0
2019-02-13,4,F,Using weapons and substances with a certain degree of harm,2.0
2019-03-04,1,F,No Weapon or Substance Used,15.0
2019-03-11,1,M,Using weapons and substances with a certain degree of harm,14.0
2019-03-24,16,F,Using weapons and substances with a certain degree of harm,1.0
2019-04-05,2,M,Unknown,1.0
2019-04-19,1,F,Using weapons and substances with a certain degree of harm,27.0
2019-05-02,1,M,No Weapon or Substance Used,2.0
2019-05-03,3,F,Unknown,2.0
2019-05-12,1,F,Using weapons and substances with a certain degree of harm,65.0
2019-05-20,4,F,Using weapons and substances with a certain degree of harm,1.0
2019-06-15,3,F,Unknown,2.0
2019-06-18,5,F,Using weapons and substances with a certain degree of harm,1.0
2019-06-27,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-07-22,2,M,Using weapons and substances with a certain degree of harm,1.0
2019-07-22,1,M,Unknown,13.0
2019-07-24,2,M,Using weapons and substances with a certain degree of harm,4.0
2019-08-15,11,M,Unknown,1.0
2019-08-25,1,M,Using weapons and substances with a certain degree of harm,22.0
2019-09-12,1,M,No Weapon or Substance Used,3.0
2019-09-22,2,M,No Weapon or Substance Used,1.0
2019-09-24,15,F,Using weapons and substances with a certain degree of harm,1.0
2019-09-27,1,F,Using weapons and substances with a certain degree of harm,33.0
2019-10-23,5,F,Using weapons and substances with a certain degree of harm,2.0
2019-10-27,3,M,No Weapon or Substance Used,1.0
2019-10-29,3,M,Unknown,1.0
2019-11-07,6,F,Using weapons and substances with a certain degree of harm,1.0
2019-11-21,6,F,Unknown,1.0
2019-12-02,2,M,No Weapon or Substance Used,1.0
2019-12-08,5,F,No Weapon or Substance Used,1.0
2019-12-20,1,M,Using weapons and substances with a certain degree of harm,12.0
2020-01-04,1,M,Unknown,17.0
2020-01-14,2,F,Unknown,1.0
2020-01-18,2,M,Using weapons and substances with a certain degree of harm,1.0
2020-01-25,1,M,Using weapons and substances with a certain degree of harm,33.0
2020-04-03,1,M,No Weapon or Substance Used,2.0
2020-04-22,9,M,Unknown,1.0
2020-06-01,1,F,Using weapons and substances with a certain degree of harm,127.0
2020-06-17,1,M,No Weapon or Substance Used,4.0
2020-06-21,1,M,Unknown,25.0
2020-06-27,2,M,Unknown,3.0
2020-08-13,1,F,Using weapons and substances with a certain degree of harm,115.0
2020-08-13,1,F,Unknown,41.0
2020-09-21,1,F,Unknown,69.0
2020-11-06,10,F,Unknown,1.0
2020-11-30,5,F,No Weapon or Substance Used,1.0
2020-12-10,1,M,Using weapons and substances with a certain degree of harm,10.0
2020-12-16,1,F,No Weapon or Substance Used,105.0
2020-12-24,1,M,No Weapon or Substance Used,27.0
2020-12-25,1,M,Using weapons and substances with a certain degree of harm,12.0
2021-01-10,7,F,Using weapons and substances with a certain degree of harm,1.0
2021-02-16,3,F,No Weapon or Substance Used,4.0
2021-03-24,2,F,No Weapon or Substance Used,10.0
2021-04-07,2,F,Using weapons and substances with a certain degree of harm,7.0
2021-04-10,2,F,No Weapon or Substance Used,14.0
2021-05-07,2,M,No Weapon or Substance Used,2.0
2021-05-14,4,F,No Weapon or Substance Used,2.0
2021-05-21,3,F,No Weapon or Substance Used,3.0
2021-05-27,4,F,Using weapons and substances with a certain degree of harm,2.0
2021-06-02,5,F,Using weapons and substances with a certain degree of harm,1.0
2021-06-05,9,F,Using weapons and substances with a certain degree of harm,1.0
2021-06-12,2,M,Using weapons and substances with a certain degree of harm,3.0
2021-06-25,2,F,No Weapon or Substance Used,6.0
2021-07-05,2,M,Using weapons and substances with a certain degree of harm,4.0
2021-07-14,1,F,Using weapons and substances with a certain degree of harm,28.0
2021-07-20,2,M,Using weapons and substances with a certain degree of harm,1.0
2021-07-22,6,F,No Weapon or Substance Used,1.0
2021-07-23,4,M,No Weapon or Substance Used,1.0
2021-07-24,1,M,Using weapons and substances with a certain degree of harm,12.0
2021-08-08,5,F,Using weapons and substances with a certain degree of harm,1.0
2021-08-17,3,F,Using weapons and substances with a certain degree of harm,3.0
2021-08-24,2,M,Using weapons and substances with a certain degree of harm,1.0
2021-09-12,1,F,No Weapon or Substance Used,59.0
2021-10-10,2,M,No Weapon or Substance Used,3.0
2021-10-28,2,M,No Weapon or Substance Used,3.0
2021-11-26,9,F,No Weapon or Substance Used,1.0
2021-12-03,10,F,No Weapon or Substance Used,1.0
2021-12-26,4,F,Using weapons and substances with a certain degree of harm,1.0
2021-12-29,1,F,No Weapon or Substance Used,26.0
2022-01-05,3,M,Using weapons and substances with a certain degree of harm,1.0
2022-01-13,2,F,Using weapons and substances with a certain degree of harm,12.0
2022-02-08,7,M,Using weapons and substances with a certain degree of harm,1.0
2022-02-18,18,M,No Weapon or Substance Used,1.0
2022-02-19,8,F,No Weapon or Substance Used,1.0
2022-03-09,3,F,No Weapon or Substance Used,2.0
2022-04-01,3,M,No Weapon or Substance Used,1.0
2022-04-06,1,F,Using weapons and substances with a certain degree of harm,36.0
2022-04-18,9,F,No Weapon or Substance Used,2.0
2022-04-23,6,F,No Weapon or Substance Used,1.0
2022-04-29,4,M,Using weapons and substances with a certain degree of harm,1.0
2022-05-17,6,F,No Weapon or Substance Used,1.0
2022-06-02,4,M,No Weapon or Substance Used,1.0
2022-06-26,3,M,No Weapon or Substance Used,1.0
2022-07-03,3,M,Using weapons and substances with a certain degree of harm,1.0
2022-07-04,8,F,Using weapons and substances with a certain degree of harm,1.0
2022-07-13,4,F,Using weapons and substances with a certain degree of harm,1.0
2022-07-27,13,F,No Weapon or Substance Used,1.0
2022-07-27,4,M,No Weapon or Substance Used,1.0
2022-08-08,13,F,Using weapons and substances with a certain degree of harm,1.0
2022-08-13,5,F,No Weapon or Substance Used,1.0
2022-09-09,1,M,No Weapon or Substance Used,18.0
2022-10-02,1,M,No Weapon or Substance Used,33.0
2022-10-02,2,M,Using weapons and substances with a certain degree of harm,4.0
2022-10-22,6,F,No Weapon or Substance Used,2.0
2022-10-22,5,F,No Weapon or Substance Used,2.0
2022-11-22,2,F,Using weapons and substances with a certain degree of harm,2.0
2022-11-25,3,F,No Weapon or Substance Used,1.0
2023-01-01,2,M,Using weapons and substances with a certain degree of harm,4.0
2023-01-10,2,M,No Weapon or Substance Used,4.0
2023-01-31,1,F,Using weapons and substances with a certain degree of harm,24.0
2023-02-08,1,M,No Weapon or Substance Used,21.0
2023-02-27,2,M,No Weapon or Substance Used,2.0
2016-06-04,1,F,No Weapon or Substance Used,26.0
2017-08-15,1,F,Using weapons and substances with a certain degree of harm,43.0
2018-09-06,3,F,Unknown,1.0
2018-11-05,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-07-10,5,F,Unknown,1.0
2019-11-22,2,F,Using weapons and substances with a certain degree of harm,4.0
2020-03-03,2,M,Using weapons and substances with a certain degree of harm,1.0
2020-10-12,2,F,Using weapons and substances with a certain degree of harm,1.0
2021-03-01,2,M,Using weapons and substances with a certain degree of harm,4.0
2021-06-30,4,M,Using weapons and substances with a certain degree of harm,1.0
2021-08-21,1,F,No Weapon or Substance Used,42.0
2021-10-03,3,M,Using weapons and substances with a certain degree of harm,1.0
2021-10-07,7,F,No Weapon or Substance Used,1.0
2022-01-01,4,F,Using weapons and substances with a certain degree of harm,2.0
2022-01-05,4,F,Using weapons and substances with a certain degree of harm,1.0
2022-09-22,6,F,No Weapon or Substance Used,1.0
2022-11-08,2,M,No Weapon or Substance Used,2.0
2022-11-16,1,F,Using weapons and substances with a certain degree of harm,15.0
2015-01-12,2,M,Using weapons and substances with a certain degree of harm,2.0
2015-01-25,18,F,No Weapon or Substance Used,1.0
2015-02-11,1,F,Using weapons and substances with a certain degree of harm,34.0
2015-02-24,2,M,No Weapon or Substance Used,1.0
2015-03-06,8,F,Using weapons and substances with a certain degree of harm,1.0
2015-03-09,2,M,Using weapons and substances with a certain degree of harm,2.0
2015-03-22,5,M,No Weapon or Substance Used,1.0
2015-03-28,1,M,No Weapon or Substance Used,4.0
2015-03-28,16,F,No Weapon or Substance Used,1.0
2015-04-01,2,F,Using weapons and substances with a certain degree of harm,6.0
2015-04-27,2,F,Using weapons and substances with a certain degree of harm,10.0
2015-04-29,2,F,No Weapon or Substance Used,3.0
2015-04-30,7,F,Using weapons and substances with a certain degree of harm,1.0
2015-05-05,7,F,Using weapons and substances with a certain degree of harm,1.0
2015-05-12,3,F,No Weapon or Substance Used,1.0
2015-05-18,1,M,No Weapon or Substance Used,6.0
2015-06-01,1,M,Using weapons and substances with a certain degree of harm,16.0
2015-06-04,2,M,Using weapons and substances with a certain degree of harm,4.0
2015-06-16,3,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-20,18,F,No Weapon or Substance Used,1.0
2015-06-26,1,F,Unknown,1.0
2015-06-27,2,F,No Weapon or Substance Used,5.0
2015-07-06,1,F,Unknown,3.0
2015-07-08,1,F,Using weapons and substances with a certain degree of harm,39.0
2015-07-12,1,F,Using weapons and substances with a certain degree of harm,51.0
2015-07-15,6,F,No Weapon or Substance Used,2.0
2015-07-17,1,F,No Weapon or Substance Used,22.0
2015-07-31,2,F,No Weapon or Substance Used,2.0
2015-08-15,2,M,Using weapons and substances with a certain degree of harm,3.0
2015-08-19,12,F,No Weapon or Substance Used,1.0
2015-08-29,3,F,No Weapon or Substance Used,2.0
2015-09-03,2,M,Using weapons and substances with a certain degree of harm,1.0
2015-09-05,2,F,Using weapons and substances with a certain degree of harm,10.0
2015-09-09,1,F,Using weapons and substances with a certain degree of harm,45.0
2015-10-14,1,M,No Weapon or Substance Used,9.0
2015-10-19,2,F,Using weapons and substances with a certain degree of harm,6.0
2015-11-17,6,F,No Weapon or Substance Used,2.0
2015-11-18,8,F,No Weapon or Substance Used,1.0
2015-11-25,3,F,No Weapon or Substance Used,1.0
2015-12-08,3,F,No Weapon or Substance Used,1.0
2015-12-27,3,F,Using weapons and substances with a certain degree of harm,1.0
2016-01-11,3,F,Using weapons and substances with a certain degree of harm,8.0
2016-01-23,5,F,No Weapon or Substance Used,1.0
2016-01-25,1,F,Unknown,2.0
2016-02-29,12,F,Using weapons and substances with a certain degree of harm,1.0
2016-03-05,3,F,No Weapon or Substance Used,1.0
2016-03-14,1,F,Using weapons and substances with a certain degree of harm,59.0
2016-03-22,7,F,Using weapons and substances with a certain degree of harm,1.0
2016-04-08,1,F,No Weapon or Substance Used,25.0
2016-04-26,4,F,No Weapon or Substance Used,1.0
2016-04-29,5,F,No Weapon or Substance Used,1.0
2016-04-30,8,F,No Weapon or Substance Used,1.0
2016-04-30,1,M,Using weapons and substances with a certain degree of harm,11.0
2016-06-14,2,M,No Weapon or Substance Used,1.0
2016-06-30,9,F,No Weapon or Substance Used,1.0
2016-07-30,2,F,Using weapons and substances with a certain degree of harm,6.0
2016-08-12,4,F,Using weapons and substances with a certain degree of harm,1.0
2016-08-13,5,M,No Weapon or Substance Used,1.0
2016-08-21,1,M,No Weapon or Substance Used,16.0
2016-09-16,3,F,No Weapon or Substance Used,1.0
2016-09-16,4,M,No Weapon or Substance Used,1.0
2016-10-23,1,M,No Weapon or Substance Used,7.0
2016-10-24,11,M,No Weapon or Substance Used,1.0
2016-10-26,6,F,No Weapon or Substance Used,1.0
2016-11-09,3,F,No Weapon or Substance Used,2.0
2016-11-13,1,F,Unknown,2.0
2016-11-16,5,F,Using weapons and substances with a certain degree of harm,2.0
2016-11-25,1,F,Using weapons and substances with a certain degree of harm,39.0
2016-12-03,5,M,Using weapons and substances with a certain degree of harm,1.0
2016-12-16,1,M,No Weapon or Substance Used,8.0
2016-12-21,4,F,Using weapons and substances with a certain degree of harm,1.0
